family,model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
KenyonCells,Dummy,0,0,6.316858281818706,9.911155114161488,5.192096597145993,-2.038258180792063e-05,,
KenyonCells,Dummy,0,1,6.311889768328615,9.91129687133197,5.190998902305159,-2.5683969867351664e-05,,
KenyonCells,Dummy,0,2,6.304436998093478,9.908192155329559,5.189352360043908,-3.480683348122682e-05,,
KenyonCells,Dummy,0,3,6.251067856992157,9.712940513749096,5.208447613823368,-1.4526306765461072e-05,,
KenyonCells,Dummy,0,4,6.218721706159995,9.65195598911194,5.224355458036204,-0.00014611681157172818,,
KenyonCells,LinearRegression,0,0,14.092372668296738,19.284564853366103,10.752171662038148,-2.7859946253607646,0.36467574384613205,0.26386398342285616
KenyonCells,LinearRegression,0,1,12.991231237712691,16.80200399067993,10.194107185025224,-1.8739046293244956,0.4541570433617166,0.3601669035394116
KenyonCells,LinearRegression,0,2,13.819489484410052,17.660556953399098,11.252996092714227,-2.177130592108369,0.36771480078500457,0.3097233010142297
KenyonCells,LinearRegression,0,3,14.215298887541582,18.093425943353292,11.556321613244364,-2.470135755033866,0.3880503866738233,0.294809794273916
KenyonCells,LinearRegression,0,4,14.026634489591197,18.200220684315592,11.696359207296446,-2.55619932493637,0.40147737909978864,0.31630343957640467
KenyonCells,ElasticNet,0,0,3.9403981499886185,6.219516670791784,2.5958283745250332,0.6062019346264194,0.8174777232224311,0.757852396730506
KenyonCells,ElasticNet,0,1,3.9416793511389123,6.336145268078091,2.615408078196286,0.5913039537534228,0.8037750500427785,0.7452340848370741
KenyonCells,ElasticNet,0,2,4.0016175199677235,6.240854812436303,2.8307159988904553,0.6032522855297788,0.8058341619228626,0.7908046435787319
KenyonCells,ElasticNet,0,3,3.8745377382628208,6.307750253072318,2.3281622510076954,0.578251224679533,0.7983269962598953,0.7553887831853455
KenyonCells,ElasticNet,0,4,4.00850824153496,6.32220353147383,2.7821355347185737,0.5708889153355226,0.7921501979026391,0.7267741020152824
KenyonCells,SVR,0,0,4.516437626272232,9.285585755093475,1.7746393082690175,0.12223367347054925,0.5447985700867775,0.8055612207384375
KenyonCells,SVR,0,1,4.441377354240015,9.31573108773059,1.7524101573834745,0.11654573460215611,0.5435442101367541,0.8118130507487922
KenyonCells,SVR,0,2,4.457225907312441,9.217967960286801,1.6555816354424238,0.1344410255634938,0.5437852057545022,0.8044987378311194
KenyonCells,SVR,0,3,4.461614501670373,9.100812574405195,1.8207214319353904,0.12205928197222526,0.5269689968023074,0.7834874469390806
KenyonCells,SVR,0,4,4.456631936391934,9.091725187837827,1.7912899929077497,0.11258781604472534,0.5071526342512246,0.7409063970920506
KenyonCells,RandomForest,0,0,2.8340131578947365,5.088415916087022,1.57,0.7364120754685943,0.863708298467797,0.8305112630701517
KenyonCells,RandomForest,0,1,2.693179824561404,5.147896798438021,1.3800000000000001,0.7302199389204448,0.8672158828012448,0.8446987498760664
KenyonCells,RandomForest,0,2,2.6850657894736845,5.419432202245623,1.3450000000000006,0.7008191096593668,0.8392601331224683,0.8565569532948063
KenyonCells,RandomForest,0,3,2.7583076923076923,5.2064763347369425,1.62,0.7126622754702261,0.8461128823386304,0.8509956419694514
KenyonCells,RandomForest,0,4,2.659054945054945,4.930855642039965,1.5899999999999999,0.7389778494866438,0.8644395509521041,0.8402257013599282
KenyonCells,RandomForest_authors,0,0,4.118016993465611,6.279630193852987,2.123810259891797,0.5985527902522161,0.7759295346241178,0.6242274181451706
KenyonCells,RandomForest_authors,0,1,4.051316909954569,6.629651142275156,2.8441593536263405,0.5525633682149824,0.7531405520249786,0.6112186893877457
KenyonCells,RandomForest_authors,0,2,4.116308787374897,6.752786226648441,3.0583097621800657,0.5354929840308631,0.7321548072943327,0.553486644309164
